i.0.9999,i.10000.14999,i.15000.24999,i.25000.34999,i.35000.49999,i.50000.64999,i.65000.74999,i.75000.99999
2230,16,118,49,163,188,45,933
1591,10,39,58,77,346,106,908
2211,109,6,245,149,227,132,664
2818,71,91,440,392,502,207,447
1712,0,38,156,138,134,93,695
4360,18,76,96,257,143,45,1222
1865,0,2,0,23,30,39,825
2546,13,54,12,39,77,86,1121
3197,25,17,93,153,144,22,1309
1942,29,79,28,127,151,72,882
3282,44,232,492,299,308,152,1177
2228,0,60,43,50,142,49,1051
3857,0,101,151,282,252,170,540
1255,23,6,38,27,106,51,463
2722,18,85,197,309,196,122,605
2447,0,54,174,254,208,77,951
696,0,85,119,78,282,131,599
1714,12,63,56,88,129,63,719
3665,15,158,238,183,417,254,1256
1161,14,103,198,178,325,179,979
1178,0,76,31,13,117,13,367
701,6,49,135,148,184,107,502
1659,44,126,122,184,254,130,923
2378,104,361,289,336,250,150,939
2938,12,154,105,165,215,140,933
2207,15,292,443,128,264,112,623
1386,37,40,198,115,214,79,641
2851,29,61,143,358,283,73,1072
3594,0,134,288,380,416,161,1323
2132,43,13,76,102,118,106,1053
3328,29,19,172,189,210,113,1436
1325,18,41,18,53,110,61,431
2317,0,93,66,275,228,81,922
5512,117,849,886,291,481,223,792
4937,55,260,378,788,480,100,342
4276,0,418,474,767,248,98,257
3363,91,406,337,327,318,131,254
3271,14,198,282,346,382,108,417
3780,83,300,615,353,549,203,740
1811,38,328,188,222,253,68,158
2126,8,153,145,241,135,114,739
4318,18,322,481,664,408,168,1233
4272,111,302,393,732,355,251,916
2147,5,19,76,121,169,101,714
4023,63,167,242,339,424,129,1221
1752,49,73,80,187,288,121,696
3085,33,80,221,331,294,258,1604
1265,20,112,136,279,167,123,613
3007,0,86,128,395,133,219,1492
1818,32,19,60,97,146,73,827
3126,0,95,63,169,149,64,1040
1924,45,75,131,198,213,82,602
3144,18,68,61,259,303,101,830
3268,35,49,38,200,169,241,1162
1721,12,27,46,139,91,108,544
4724,9,119,284,155,341,168,1509
986,19,55,75,115,50,84,408
4538,175,408,583,794,321,100,549
1542,10,126,199,128,199,70,511
2886,48,53,106,214,175,130,1059
2218,20,87,266,257,282,124,904
2469,0,52,208,261,259,113,918
2063,13,318,236,174,140,179,464
2928,50,114,337,229,280,111,860
1446,3,55,75,169,255,81,348
2808,0,39,120,104,310,107,877
2867,61,195,99,200,244,158,788
3492,8,56,66,130,96,97,1536
6220,128,296,223,536,240,102,738
2685,48,108,268,198,174,186,733
2049,1,68,77,113,213,116,682
2037,54,52,15,142,56,58,760
2328,20,72,74,148,184,86,707
2374,19,44,181,195,262,97,788
1256,5,64,103,203,127,65,441
3263,32,90,75,112,260,87,940
3559,20,73,155,289,112,74,1103
2369,0,31,88,106,134,66,860
3104,8,28,133,238,225,48,1119
3584,24,53,89,221,196,129,1400
2869,78,36,45,192,184,120,1320
1804,0,22,92,101,159,102,781
2453,19,268,331,246,345,103,696
1549,0,54,44,63,107,59,482
4623,0,219,317,206,166,56,1933
1149,63,87,211,255,273,191,979
3622,15,131,345,554,268,162,736
1756,4,32,25,33,83,37,659
3427,10,90,136,218,151,71,1078
6832,17,52,71,74,131,40,453
1980,11,101,122,130,186,65,521
1924,5,53,41,180,106,80,627
3881,49,63,77,203,175,66,1162
4179,33,18,39,159,288,38,1380
